"attributes","Id","Name","Amount","StageName","AccountId","OwnerId"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1dAAA""}","0063h000008wq1dAAA","Opportunity for Johnston1857",163800,"Closed Won","0013h00000Ffg0PAAR","0053h000003de70AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1fAAA""}","0063h000008wq1fAAA","Opportunity for Smith1859",1261290,"Negotiation/Review","0013h00000Ffg2PAAR","0053h000003de73AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1gAAA""}","0063h000008wq1gAAA","Opportunity for Thornton1860",193757,"Closed Won","0013h00000Ffg9cAAB","0053h000003de70AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1hAAA""}","0063h000008wq1hAAA","Opportunity for Ramsey1863",1885475,"Closed Won","0013h00000Ffg0YAAR","0053h000003de6zAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1iAAA""}","0063h000008wq1iAAA","Opportunity for Mathis1864",2628850,"Needs Analysis","0013h00000Ffg8vAAB","0053h000003de70AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1kAAA""}","0063h000008wq1kAAA","Opportunity for Price1866",466000,"Closed Won","0013h00000FffwrAAB","0053h000003de74AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1mAAA""}","0063h000008wq1mAAA","Opportunity for Moore1870",165920,"Closed Won","0013h00000FfgBAAAZ","0053h000003de74AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1nAAA""}","0063h000008wq1nAAA","Opportunity for Foster1871",1628800,"Closed Won","0013h00000Ffg2RAAR","0053h000003de71AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1oAAA""}","0063h000008wq1oAAA","Opportunity for McDaniel1873",3694000,"Closed Won","0013h00000FffyJAAR","0053h000003de75AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1pAAA""}","0063h000008wq1pAAA","Opportunity for Gibbs1874",2058100,"Proposal/Price Quote","0013h00000FfgCIAAZ","0053h000003de7AAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1qAAA""}","0063h000008wq1qAAA","Opportunity for Medina1876",2859100,"Needs Analysis","0013h00000Ffg7FAAR","0053h000003de70AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1rAAA""}","0063h000008wq1rAAA","Opportunity for Kim733",238018,"Closed Won","0013h00000Ffg06AAB","0053h000003de6xAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1sAAA""}","0063h000008wq1sAAA","Opportunity for Curry734",40380,"Qualification","0013h00000Ffg4hAAB","0053h000003de6xAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1uAAA""}","0063h000008wq1uAAA","Opportunity for Garner740",155600,"Perception Analysis","0013h00000Ffg4ZAAR","0053h000003de7EAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1xAAA""}","0063h000008wq1xAAA","Opportunity for Watts745",676500,"Closed Won","0013h00000Ffg2kAAB","0053h000003de7EAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1yAAA""}","0063h000008wq1yAAA","Opportunity for Freeman746",1411200,"Closed Won","0013h00000FffwPAAR","0053h000003de7BAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1zAAA""}","0063h000008wq1zAAA","Opportunity for Hopkins747",218798,"Closed Won","0013h00000Ffg8NAAR","0053h000003de7EAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq20AAA""}","0063h000008wq20AAA","Opportunity for Clayton750",411166,"Closed Won","0013h00000FfgBVAAZ","0053h000003de7CAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq21AAA""}","0063h000008wq21AAA","Opportunity for Andrews1118",591520,"Closed Won","0013h00000FfgBgAAJ","0053h000003de6yAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq23AAA""}","0063h000008wq23AAA","Opportunity for Estrada1122",466560,"Value Proposition","0013h00000Ffg5AAAR","0053h000003de7EAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq25AAA""}","0063h000008wq25AAA","Opportunity for Miles1126",142400,"Closed Won","0013h00000Ffg1fAAB","0053h000003de74AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq27AAA""}","0063h000008wq27AAA","Opportunity for Alvarado1128",254886,"Closed Won","0013h00000FffzfAAB","0053h000003de7DAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq28AAA""}","0063h000008wq28AAA","Opportunity for Wilkins1129",2210350,"Closed Won","0013h00000Ffg4eAAB","0053h000003de70AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq29AAA""}","0063h000008wq29AAA","Opportunity for Harris1133",524400,"Closed Won","0013h00000Ffg5TAAR","0053h000003de79AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpyrAAA""}","0063h000008wpyrAAA","Opportunity for Rogers193",888500,"Closed Won","0013h00000FffzSAAR","0053h000003de79AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0VAAQ""}","0063h000008wq0VAAQ","Opportunity for Weber1078",36960,"Value Proposition","0013h00000FffxVAAR","0053h000003de6zAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0WAAQ""}","0063h000008wq0WAAQ","Opportunity for Bowman1081",218204,"Closed Won","0013h00000Ffg27AAB","0053h000003de71AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0XAAQ""}","0063h000008wq0XAAQ","Opportunity for Maxwell1082",457656,"Closed Won","0013h00000Ffg9PAAR","0053h000003de77AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0YAAQ""}","0063h000008wq0YAAQ","Opportunity for Soto1087",263500,"Closed Won","0013h00000Ffg89AAB","0053h000003de70AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0ZAAQ""}","0063h000008wq0ZAAQ","Opportunity for Alvarez1088",2592000,"Needs Analysis","0013h00000Ffg6VAAR","0053h000003de76AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0aAAA""}","0063h000008wq0aAAA","Opportunity for Hunter1091",88400,"Closed Lost","0013h00000Ffg88AAB","0053h000003de6yAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0cAAA""}","0063h000008wq0cAAA","Opportunity for Chandler1451",163110,"Closed Lost","0013h00000FffyCAAR","0053h000003de7EAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0dAAA""}","0063h000008wq0dAAA","Opportunity for Grant1452",735870,"Prospecting","0013h00000Ffg1RAAR","0053h000003de71AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0eAAA""}","0063h000008wq0eAAA","Opportunity for Bates1455",482025,"Value Proposition","0013h00000FfgBnAAJ","0053h000003de6yAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0fAAA""}","0063h000008wq0fAAA","Opportunity for Fisher1458",1438500,"Closed Won","0013h00000Ffg8LAAR","0053h000003de76AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0gAAA""}","0063h000008wq0gAAA","Opportunity for Paul1460",2714200,"Closed Lost","0013h00000Ffg08AAB","0053h000003de70AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0hAAA""}","0063h000008wq0hAAA","Opportunity for Cruz1461",60160,"Value Proposition","0013h00000Ffg84AAB","0053h000003de77AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0iAAA""}","0063h000008wq0iAAA","Opportunity for Jacobs1464",5198280,"Prospecting","0013h00000Fffy5AAB","0053h000003de77AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0kAAA""}","0063h000008wq0kAAA","Opportunity for Lee1827",15760,"Needs Analysis","0013h00000Ffg52AAB","0053h000003de75AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0nAAA""}","0063h000008wq0nAAA","Opportunity for Cross1834",1756800,"Qualification","0013h00000Fffy1AAB","0053h000003de75AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpysAAA""}","0063h000008wpysAAA","Opportunity for Frazier196",164700,"Perception Analysis","0013h00000FffzTAAR","0053h000003de7AAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpyvAAA""}","0063h000008wpyvAAA","Opportunity for Phelps203",22520,"Closed Won","0013h00000FffzbAAB","0053h000003de6zAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpywAAA""}","0063h000008wpywAAA","Opportunity for Phelps205",53325,"Needs Analysis","0013h00000FfgC1AAJ","0053h000003de7AAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpyzAAA""}","0063h000008wpyzAAA","Opportunity for Morton406",356880,"Qualification","0013h00000Ffg9XAAR","0053h000003de7AAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpz0AAA""}","0063h000008wpz0AAA","Opportunity for Porter410",2155875,"Closed Won","0013h00000Ffg6QAAR","0053h000003de7CAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpz1AAA""}","0063h000008wpz1AAA","Opportunity for McKenzie412",3626550,"Closed Lost","0013h00000Ffg03AAB","0053h000003de6xAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpz2AAA""}","0063h000008wpz2AAA","Opportunity for Clark413",148440,"Closed Lost","0013h00000Ffg7lAAB","0053h000003de6yAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpz3AAA""}","0063h000008wpz3AAA","Opportunity for Abbott414",206587,"Closed Won","0013h00000Ffg1rAAB","0053h000003de6wAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpz4AAA""}","0063h000008wpz4AAA","Opportunity for West206",2103270,"Closed Lost","0013h00000Ffg7FAAR","0053h000003de7AAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0wAAA""}","0063h000008wq0wAAA","Opportunity for Ramos1851",388890,"Closed Won","0013h00000Ffg2HAAR","0053h000003de6yAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0xAAA""}","0063h000008wq0xAAA","Opportunity for Adams708",1269390,"Prospecting","0013h00000Ffg12AAB","0053h000003de72AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0yAAA""}","0063h000008wq0yAAA","Opportunity for Luna711",281700,"Value Proposition","0013h00000FffwZAAR","0053h000003de76AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0zAAA""}","0063h000008wq0zAAA","Opportunity for Morgan713",2717500,"Prospecting","0013h00000FfgA5AAJ","0053h000003de74AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq10AAA""}","0063h000008wq10AAA","Opportunity for Massey714",559580,"Closed Won","0013h00000Ffg0ZAAR","0053h000003de6xAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq12AAA""}","0063h000008wq12AAA","Opportunity for Freeman717",1023320,"Value Proposition","0013h00000Ffg6iAAB","0053h000003de7CAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq14AAA""}","0063h000008wq14AAA","Opportunity for Maldonado720",104760,"Closed Won","0013h00000Ffg6XAAR","0053h000003de79AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq15AAA""}","0063h000008wq15AAA","Opportunity for Reeves721",2367210,"Closed Won","0013h00000Ffg5CAAR","0053h000003de7CAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq16AAA""}","0063h000008wq16AAA","Opportunity for Joseph722",327145,"Value Proposition","0013h00000Ffg7yAAB","0053h000003de74AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq17AAA""}","0063h000008wq17AAA","Opportunity for Silva728",1641600,"Perception Analysis","0013h00000FfgCBAAZ","0053h000003de6zAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq18AAA""}","0063h000008wq18AAA","Opportunity for Simpson729",1666850,"Prospecting","0013h00000FffyxAAB","0053h000003de7AAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1AAAQ""}","0063h000008wq1AAAQ","Opportunity for Pope1093",1134385,"Closed Won","0013h00000Ffg8aAAB","0053h000003de6yAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1BAAQ""}","0063h000008wq1BAAQ","Opportunity for Miles1094",79480,"Closed Won","0013h00000Ffg9EAAR","0053h000003de73AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1CAAQ""}","0063h000008wq1CAAQ","Opportunity for Morton1098",761000,"Closed Won","0013h00000Ffg5NAAR","0053h000003de79AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1DAAQ""}","0063h000008wq1DAAQ","Opportunity for Mills1099",254500,"Closed Lost","0013h00000FffyFAAR","0053h000003de71AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1EAAQ""}","0063h000008wq1EAAQ","Opportunity for Keller1100",1229730,"Closed Won","0013h00000FffxAAAR","0053h000003de7BAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1FAAQ""}","0063h000008wq1FAAQ","Opportunity for Todd1101",173566,"Closed Won","0013h00000Ffg7MAAR","0053h000003de7DAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1IAAQ""}","0063h000008wq1IAAQ","Opportunity for Myers1105",792270,"Closed Won","0013h00000Ffg56AAB","0053h000003de74AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1JAAQ""}","0063h000008wq1JAAQ","Opportunity for Jacobs1106",78400,"Closed Lost","0013h00000Ffg4vAAB","0053h000003de75AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1KAAQ""}","0063h000008wq1KAAQ","Opportunity for Parsons1107",206000,"Closed Won","0013h00000FffxuAAB","0053h000003de6wAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1MAAQ""}","0063h000008wq1MAAQ","Opportunity for Gardner1110",645700,"Needs Analysis","0013h00000Ffg5UAAR","0053h000003de70AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1NAAQ""}","0063h000008wq1NAAQ","Opportunity for Harrington1112",905000,"Qualification","0013h00000Ffg9RAAR","0053h000003de71AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1OAAQ""}","0063h000008wq1OAAQ","Opportunity for Rodriquez1114",1598060,"Closed Won","0013h00000Ffg7UAAR","0053h000003de6wAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1PAAQ""}","0063h000008wq1PAAQ","Opportunity for Tyler1115",114000,"Value Proposition","0013h00000Ffg1xAAB","0053h000003de72AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1QAAQ""}","0063h000008wq1QAAQ","Opportunity for West1117",3609320,"Closed Won","0013h00000FffwjAAB","0053h000003de75AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1RAAQ""}","0063h000008wq1RAAQ","Opportunity for Rodriquez1469",491550,"Closed Won","0013h00000Ffg3lAAB","0053h000003de70AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1SAAQ""}","0063h000008wq1SAAQ","Opportunity for Martin1471",24536,"Closed Won","0013h00000Ffg8gAAB","0053h000003de7BAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1TAAQ""}","0063h000008wq1TAAQ","Opportunity for Simpson1472",283466,"Closed Won","0013h00000Ffg0mAAB","0053h000003de76AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1UAAQ""}","0063h000008wq1UAAQ","Opportunity for Santos1475",345554,"Closed Won","0013h00000Fffx1AAB","0053h000003de73AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2AAAQ""}","0063h000008wq2AAAQ","Opportunity for Moran1134",749210,"Closed Won","0013h00000FfgAUAAZ","0053h000003de75AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2BAAQ""}","0063h000008wq2BAAQ","Opportunity for Howell1136",987000,"Closed Won","0013h00000Ffg8BAAR","0053h000003de6wAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2DAAQ""}","0063h000008wq2DAAQ","Opportunity for Obrien1138",489886,"Closed Lost","0013h00000FffyEAAR","0053h000003de74AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2FAAQ""}","0063h000008wq2FAAQ","Opportunity for Young1496",219000,"Closed Won","0013h00000FffxvAAB","0053h000003de77AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2GAAQ""}","0063h000008wq2GAAQ","Opportunity for Malone1500",583800,"Closed Won","0013h00000Ffg3cAAB","0053h000003de74AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2HAAQ""}","0063h000008wq2HAAQ","Opportunity for Wise1501",830675,"Closed Lost","0013h00000FffxwAAB","0053h000003de74AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2IAAQ""}","0063h000008wq2IAAQ","Opportunity for McDonald1503",3851250,"Closed Won","0013h00000Ffg3xAAB","0053h000003de79AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2JAAQ""}","0063h000008wq2JAAQ","Opportunity for Oliver1504",1032600,"Closed Won","0013h00000Ffg5LAAR","0053h000003de7BAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2KAAQ""}","0063h000008wq2KAAQ","Opportunity for Norris1506",43355,"Closed Won","0013h00000Ffg1cAAB","0053h000003de6zAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2LAAQ""}","0063h000008wq2LAAQ","Opportunity for Hardy1507",594760,"Perception Analysis","0013h00000Ffg5xAAB","0053h000003de70AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2MAAQ""}","0063h000008wq2MAAQ","Opportunity for Nguyen1510",791500,"Qualification","0013h00000Ffg57AAB","0053h000003de7BAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2NAAQ""}","0063h000008wq2NAAQ","Opportunity for Garrett1512",2719000,"Closed Won","0013h00000Ffg1zAAB","0053h000003de70AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpxIAAQ""}","0063h000008wpxIAAQ","Opportunity for Conner5",32400,"Qualification","0013h00000Ffg9nAAB","0053h000003de77AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpz5AAA""}","0063h000008wpz5AAA","Opportunity for Horton207",2166890,"Closed Won","0013h00000Ffg2FAAR","0053h000003de6xAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpz6AAA""}","0063h000008wpz6AAA","Opportunity for Huff45",1301060,"Closed Lost","0013h00000Ffg1rAAB","0053h000003de7AAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpz7AAA""}","0063h000008wpz7AAA","Opportunity for Johnston49",316040,"Closed Won","0013h00000Ffg3YAAR","0053h000003de79AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2PAAQ""}","0063h000008wq2PAAQ","Opportunity for Bell1517",448068,"Closed Won","0013h00000FffxqAAB","0053h000003de77AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2SAAQ""}","0063h000008wq2SAAQ","Opportunity for Rios1882",9000,"Closed Won","0013h00000FfgAaAAJ","0053h000003de76AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2TAAQ""}","0063h000008wq2TAAQ","Opportunity for Barker1887",1740500,"Closed Lost","0013h00000FffxcAAB","0053h000003de6wAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2UAAQ""}","0063h000008wq2UAAQ","Opportunity for Daniel1888",1384600,"Value Proposition","0013h00000FffxwAAB","0053h000003de7EAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2VAAQ""}","0063h000008wq2VAAQ","Opportunity for Phillips1889",39600,"Value Proposition","0013h00000Ffg1WAAR","0053h000003de73AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2WAAQ""}","0063h000008wq2WAAQ","Opportunity for Hall1897",2925000,"Perception Analysis","0013h00000FffwXAAR","0053h000003de72AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq2aAAA""}","0063h000008wq2aAAA","Opportunity for Lee759",710500,"Closed Won","0013h00000Ffg33AAB","0053h000003de77AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpxMAAQ""}","0063h000008wpxMAAQ","Opportunity for McDonald13",240747,"Closed Won","0013h00000Ffg8kAAB","0053h000003de76AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpxNAAQ""}","0063h000008wpxNAAQ","Opportunity for Jefferson17",21640,"Closed Won","0013h00000Ffg9IAAR","0053h000003de7CAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpxOAAQ""}","0063h000008wpxOAAQ","Opportunity for McLaughlin130",1249000,"Negotiation/Review","0013h00000Ffg0nAAB","0053h000003de71AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpxPAAQ""}","0063h000008wpxPAAQ","Opportunity for Chandler133",754640,"Perception Analysis","0013h00000Ffg4kAAB","0053h000003de76AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpxQAAQ""}","0063h000008wpxQAAQ","Opportunity for Rice134",243450,"Closed Won","0013h00000Ffg3PAAR","0053h000003de75AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wpxSAAQ""}","0063h000008wpxSAAQ","Opportunity for Barnes141",363400,"Qualification","0013h00000Ffg7XAAR","0053h000003de7EAAQ"
