id,Manufacturer,Model,Vehicle_type,Sales_in_thousands
117,Plymouth,Prowler,Passenger,1.872
118,Pontiac,Sunfire,Passenger,51.645
119,Pontiac,Grand Am,Passenger,131.097
120,Pontiac,Firebird,Passenger,19.911
121,Pontiac,Grand Prix,Passenger,92.364
122,Pontiac,Bonneville,Passenger,35.945
123,Pontiac,Montana,Car,39.572
124,Porsche,Boxter,Passenger,8.982
125,Porsche,Carrera Coupe,Passenger,1.28
126,Porsche,Carrera Cabrio,Passenger,1.866
127,Saab,5-Sep,Passenger,9.191
128,Saab,3-Sep,Passenger,12.115
129,Saturn,SL,Passenger,80.62
130,Saturn,SC,Passenger,24.546
131,Saturn,SW,Passenger,5.223
132,Saturn,LW,Passenger,8.472
133,Saturn,LS,Passenger,49.989
134,Subaru,Outback,Passenger,47.107
135,Subaru,Forester,Car,33.028
136,Toyota,Corolla,Passenger,142.535
137,Toyota,Camry,Passenger,247.994
138,Toyota,Avalon,Passenger,63.849
139,Toyota,Celica,Passenger,33.269
140,Toyota,Tacoma,Car,84.087
141,Toyota,Sienna,Car,65.119
142,Toyota,RAV4,Car,25.106
143,Toyota,4Runner,Car,68.411
144,Toyota,Land Cruiser,Car,9.835
145,Volkswagen,Golf,Passenger,9.761
146,Volkswagen,Jetta,Passenger,83.721
147,Volkswagen,Passat,Passenger,51.102
148,Volkswagen,Cabrio,Passenger,9.569
149,Volkswagen,GTI,Passenger,5.596
150,Volkswagen,Beetle,Passenger,49.463
151,Volvo,S40,Passenger,16.957
152,Volvo,V40,Passenger,3.545
153,Volvo,S70,Passenger,15.245
154,Volvo,V70,Passenger,17.531
155,Volvo,C70,Passenger,3.493
156,Volvo,S80,Passenger,18.969
